domain,source_column,tag_id,mqtt_topic,equipment,stream,parameter,unit,data_type,sample_rate,description
health,PB001_Level_pct,PB001.HEALTH.Level,plant/grinding/PB001/health/level,PB_001,-,Sump Level,%,float,1min,Pump box sump level
health,PB001_Level_Setpoint_pct,PB001.HEALTH.LevelSetpoint,plant/grinding/PB001/health/level_setpoint,PB_001,-,Sump Level Setpoint,%,float,1min,Target sump level
health,PB001_Sump_Temp_C,PB001.HEALTH.SumpTemp,plant/grinding/PB001/health/sump_temp,PB_001,-,Sump Temperature,degC,float,1min,Slurry temperature in pump box
health,SP001_Motor_Current_A,SP001.HEALTH.MotorCurrent,plant/grinding/SP001/health/motor_current,SP_001,-,Motor Current,A,float,1min (real plants: seconds),Pump motor current draw
health,SP001_Motor_Power_kW,SP001.HEALTH.MotorPower,plant/grinding/SP001/health/motor_power,SP_001,-,Motor Power,kW,float,1min (real plants: seconds),Pump motor power draw
health,SP001_Discharge_Pressure_kPa,SP001.HEALTH.DischargePressure,plant/grinding/SP001/health/discharge_pressure,SP_001,-,Discharge Pressure,kPa,float,1min,Pump discharge pressure
health,SP001_Speed_RPM,SP001.HEALTH.Speed,plant/grinding/SP001/health/speed,SP_001,-,Pump Speed,RPM,float,1min,Pump rotational speed
health,SP001_Bearing_Temp_C,SP001.HEALTH.BearingTemp,plant/grinding/SP001/health/bearing_temp,SP_001,-,Bearing Temperature,degC,float,1min,Pump bearing temperature
health,SP001_Vibration_mms,SP001.HEALTH.Vibration,plant/grinding/SP001/health/vibration,SP_001,-,Vibration (trended RMS),mm/s,float,"1min (raw waveform: kHz, separate CM system)",Pump vibration overall RMS
health,BM001_Power_Draw_kW,BM001.HEALTH.PowerDraw,plant/grinding/BM001/health/power_draw,BM_001,-,Power Draw,kW,float,1min (real plants: seconds),Mill motor power draw
health,BM001_Motor_Current_A,BM001.HEALTH.MotorCurrent,plant/grinding/BM001/health/motor_current,BM_001,-,Motor Current,A,float,1min (real plants: seconds),Mill motor current
health,BM001_Mill_Speed_pctCritical,BM001.HEALTH.SpeedPctCritical,plant/grinding/BM001/health/speed_pct_critical,BM_001,-,Mill Speed,% of critical,float,1min,Mill rotational speed as % of critical speed
health,BM001_Bearing_DE_Temp_C,BM001.HEALTH.BearingDETemp,plant/grinding/BM001/health/bearing_de_temp,BM_001,-,Bearing Temp (Drive End),degC,float,1min,Drive-end trunnion bearing temperature
health,BM001_Bearing_NDE_Temp_C,BM001.HEALTH.BearingNDETemp,plant/grinding/BM001/health/bearing_nde_temp,BM_001,-,Bearing Temp (Non-Drive End),degC,float,1min,Non-drive-end trunnion bearing temperature
health,BM001_Vibration_mms,BM001.HEALTH.Vibration,plant/grinding/BM001/health/vibration,BM_001,-,Vibration (trended RMS),mm/s,float,"1min (raw waveform: kHz, separate CM system)",Mill shell/bearing vibration overall RMS
health,BM001_Sound_Level_dB,BM001.HEALTH.SoundLevel,plant/grinding/BM001/health/sound_level,BM_001,-,Sound Level,dB,float,1min,Acoustic sensor - charge/liner condition proxy
health,CY001_Inlet_Pressure_kPa,CY001.HEALTH.InletPressure,plant/grinding/CY001/health/inlet_pressure,CY_001,-,Inlet Pressure,kPa,float,1min,Cyclone cluster inlet pressure
health,CY001_Vortex_DP_kPa,CY001.HEALTH.VortexDP,plant/grinding/CY001/health/vortex_dp,CY_001,-,Vortex Differential Pressure,kPa,float,1min,Differential pressure across vortex finder
health,CY001_Apex_Wear_Index_pct,CY001.HEALTH.ApexWear,plant/grinding/CY001/health/apex_wear,CY_001,-,Apex Wear Index,%,float,"1min (modeled, real plants: inferred or route-inspected)","Modeled spigot/apex wear, resets at liner replacement"
health,CY001_Cyclones_Online,CY001.HEALTH.CyclonesOnline,plant/grinding/CY001/health/cyclones_online,CY_001,-,Cyclones Online,count,int,1min,Number of the 4 hydrocyclones currently online
