log_id,equipment_id,maintenance_date,maintenance_type,work_order_type,description,technician,parts_replaced,downtime_hours,cost_usd,status,condition_after
WO-2025-0305,BM_001,2025-03-05,Condition-Based,CM-01,Acoustic noise spike on main drive gearbox. Flushed gear oil and replaced magnetic drain plug.,Elena Rostova (Mill Specialist),Gearbox Filter Element & Shell Omala S4 Oil 400L,6.0,6400,Completed,Optimal
WO-2024-1110,BM_001,2024-11-10,Overhaul,PM-01,Full ball mill shell liner replacement and trunnion seal overhaul.,Thomas Wright (Mill Maintenance),High-Chrome Cast Steel Liners (72-piece set) & Trunnion Seals,48.0,125000,Completed,Optimal
WO-2024-0615,BM_001,2024-06-15,Preventive,PM-02,Added 20 tons forged steel grinding media (100mm/80mm mix) and inspected trunnion bearing pads.,Elena Rostova (Mill Specialist),Grinding Media Charge (20t),8.0,24000,Completed,Optimal
WO-2026-0719,CY_001_A,2026-07-19,Preventive,PM-03,Hydrocyclone Cluster A liner replacement. Replaced polyurethane vortex finder and apex spigot.,Antoine Dupont (Process Tech),Polyurethane Apex Spigot (CVX-500-APX) & Vortex Finder,3.0,1850,Completed,Good - liner replaced
WO-2026-0410,CY_001_A,2026-04-12,Inspection,INSP-01,Routine overflow/underflow sample density check & spigot aperture measurement.,Antoine Dupont (Process Tech),None (Inspection Only),0.5,0,Completed,Optimal
WO-2025-1205,CY_001_A,2025-12-10,Corrective,CM-01,Tramp metal obstruction in feed inlet chamber. Cleared blockage and inspected casing liner.,Marcus Vance (Lead Mechanical),Feed Inlet Gasket & Clamp Ring,2.0,650,Completed,Optimal
WO-2025-0814,CY_001_A,2025-08-14,Preventive,PM-03,Replaced worn ceramic lower cone insert after 4500 hours of continuous classification.,Antoine Dupont (Process Tech),Alumina Ceramic Lower Cone Insert (CVX-500),4.5,3200,Completed,Optimal
WO-2025-0120,CY_001_A,2025-01-20,Inspection,INSP-01,Aperture gauge measurement of cyclone spigot. Recorded 48mm diameter wear.,Antoine Dupont (Process Tech),None (Inspection Only),0.5,0,Completed,Optimal
WO-2026-0719,CY_001_B,2026-07-19,Preventive,PM-03,Hydrocyclone Cluster B apex spigot replacement & pressure transmitter calibration.,Antoine Dupont (Process Tech),Polyurethane Apex Spigot (CVX-500-APX),2.5,1400,Completed,Good - liner replaced
WO-2026-0301,CY_001_B,2026-03-05,Inspection,INSP-01,Ultrasonic wall thickness measurement of cyclone upper housing.,Antoine Dupont (Process Tech),None (Inspection Only),0.5,0,Completed,Optimal
WO-2025-1011,CY_001_B,2025-10-11,Corrective,CM-02,Underflow splash skirt tear causing slurry spray. Replaced rubber splash skirt assembly.,David Thorne (Mechanical Specialist),Heavy Duty Rubber Splash Skirt,1.5,420,Completed,Optimal
WO-2025-0518,CY_001_B,2025-05-18,Preventive,PM-03,Replaced vortex finder and feed chamber rubber liner.,Antoine Dupont (Process Tech),Vortex Finder (VF-500) & Rubber Feed Liner,3.5,2400,Completed,Optimal
WO-2026-0719,CY_001_C,2026-07-19,Corrective,CM-02,Intermittent apex roping choked event. Cleared debris and flushed feed manifold.,Antoine Dupont (Process Tech),Manifold Wash Gasket & Flush Valve,1.5,450,Completed,Monitor - choke event logged
WO-2026-0214,CY_001_C,2026-02-18,Preventive,PM-03,Routine ceramic liner section replacement.,Marcus Vance (Lead Mechanical),Ceramic Lower Cone Insert (CVX-500),4.0,2200,Completed,Optimal
WO-2025-0902,CY_001_C,2025-09-02,Inspection,INSP-02,Feed pressure sensor calibration and pneumatic isolation valve testing.,Antoine Dupont (Process Tech),Pressure Sensor Diaphragm Kit,1.0,380,Completed,Optimal
WO-2025-0414,CY_001_C,2025-04-14,Preventive,PM-03,Apex spigot replacement and overflow elbow inspection.,Antoine Dupont (Process Tech),Polyurethane Apex Spigot (CVX-500-APX),2.5,1400,Completed,Optimal
WO-2026-0620,PB_001,2026-06-20,Preventive,PM-05,Cleaned sump level probe sensor and inspected rubber anti-turbulent baffle plates.,David Thorne (Mechanical Specialist),Level Probe Gasket Kit & Ultrasonic Sensor Cleaning Solution,1.5,350,Completed,Good
WO-2026-0205,PB_001,2026-02-08,Overhaul,PM-01,"De-sludged sump basin, inspected elastomer lining for erosion, and calibrated level sensor.",David Thorne (Mechanical Specialist),Elastomer Patch Repair Compound & Agitator Mount Seal,6.0,3100,Completed,Optimal
WO-2025-0910,PB_001,2025-09-10,Preventive,PM-05,Inspected inlet feed distributor box wear plates and cleared oversize rocks from trash screen.,Marcus Vance (Lead Mechanical),Perforated Stainless Steel Trash Screen 25mm,3.0,1250,Completed,Optimal
WO-2025-0322,PB_001,2025-03-22,Corrective,CM-01,Repaired cracked slurry discharge flange weld on pump box outlet 1.,David Thorne (Mechanical Specialist),Hardfacing Welding Electrodes & EPDM Flange Seal,4.5,1850,Completed,Optimal
